,Zillow URL,Address,Price,Latitude,Longitude,Zestimate,Year Built,Garage,Beds,Baths,Sqft
68,https://www.zillow.com/homedetails/8421-Benton-St-Arvada-CO-80003/13691152_zpid/,"8421 Benton St, Arvada, CO 80003",449000.00,39.81729,-105.099184,"$433,325 ",1970,1,5,2,1912
69,https://www.zillow.com/homedetails/17105-E-Chenango-Ave-UNIT-B-Aurora-CO-80015/13108056_zpid/,"17105 E Chenango Ave UNIT B, Aurora, CO 80015",245000.00,39.62619781,-104.7895584,"$295,060 ",1983,0,2,3,1088
70,https://www.zillow.com/homedetails/6055-Wadsworth-Blvd-APT-C-Arvada-CO-80003/58768549_zpid/,"6055 Wadsworth Blvd APT C, Arvada, CO 80003",352000.00,39.80652237,-105.0823517,"$402,431 ",2002,1,3,4,1482
71,https://www.zillow.com/homedetails/4777-E-98th-Pl-Denver-CO-80229/187581237_zpid/,"4777 E 98th Pl, Denver, CO 80229",390000.00,39.87398148,-104.9321136,"$403,587 ",2016,2,3,3,1677
72,https://www.zillow.com/homedetails/7751-Knox-Ct-Westminster-CO-80030/12996559_zpid/,"7751 Knox Ct, Westminster, CO 80030",399950.00,39.83743286,-105.0323715,"$442,610 ",1956,0,4,2,1390
73,https://www.zillow.com/homedetails/6449-Spotted-Fawn-Run-Littleton-CO-80125/13488565_zpid/,"6449 Spotted Fawn Run, Littleton, CO 80125",885000.00,39.45597076,-105.0763779,"$829,464 ",1996,3,4,4,5000
74,https://www.zillow.com/homedetails/23228-Briar-Leaf-Ave-Parker-CO-80138/67451425_zpid/,"23228 Briar Leaf Ave, Parker, CO 80138",705000.00,39.49536896,-104.7197037,"$776,931 ",2005,3,5,5,3963
75,https://www.zillow.com/homedetails/5210-Perth-St-Denver-CO-80249/63357585_zpid/,"5210 Perth St, Denver, CO 80249",500000.00,39.7915535,-104.7358704,"$461,425 ",2003,2,4,3,3176
76,https://www.zillow.com/homedetails/319-Garfield-St-Denver-CO-80206/247390922_zpid/,"319 Garfield St, Denver, CO 80206",2275000.00,39.72125626,-104.9439316,"$2,256,495 ",2016,0,4,5,4002
77,https://www.zillow.com/homedetails/711-Golf-Club-Dr-Castle-Rock-CO-80108/13484024_zpid/,"711 Golf Club Dr, Castle Rock, CO 80108",1650000.00,39.423675,-104.889725,"$1,653,641 ",1999,3,4,4,4926
78,https://www.zillow.com/homedetails/21449-E-Union-Dr-Aurora-CO-80015/99674869_zpid/,"21449 E Union Dr, Aurora, CO 80015",675000.00,39.63032532,-104.7410965,"$655,396 ",2014,3,5,4,3811
79,https://www.zillow.com/homedetails/10850-Towerbridge-Rd-Highlands-Ranch-CO-80130/67453524_zpid/,"10850 Towerbridge Rd, Highlands Ranch, CO 80130",585000.00,39.51859665,-104.9250793,"$601,968 ",2004,2,3,4,2171
80,https://www.zillow.com/homedetails/4167-S-Quebec-St-Denver-CO-80237/13423006_zpid/,"4167 S Quebec St, Denver, CO 80237",800000.00,39.64191055,-104.9034729,"$847,236 ",1973,2,5,4,3287
81,https://www.zillow.com/homedetails/3745-E-Ellsworth-Ave-APT-C-Denver-CO-80209/58293979_zpid/,"3745 E Ellsworth Ave APT C, Denver, CO 80209",635000.00,39.71701431,-104.9431458,"$684,962 ",1998,1,2,3,1552
82,https://www.zillow.com/homedetails/14186-Piney-River-Rd-Broomfield-CO-80023/66688762_zpid/,"14186 Piney River Rd, Broomfield, CO 80023",949000.00,39.95195389,-105.0486679,"$871,691 ",2005,3,5,5,3993
83,https://www.zillow.com/homedetails/32467-Little-Cub-Rd-Evergreen-CO-80439/13805968_zpid/,"32467 Little Cub Rd, Evergreen, CO 80439",715000.00,39.582093,-105.37108,"$752,565 ",1982,2,3,3,2744
84,https://www.zillow.com/homedetails/11317-W-Crestline-Pl-Littleton-CO-80127/13814299_zpid/,"11317 W Crestline Pl, Littleton, CO 80127",609000.00,39.61828613,-105.1255188,"$585,325 ",1999,2,3,3,1908
85,https://www.zillow.com/homedetails/9873-W-Caley-Ave-Littleton-CO-80123/13820095_zpid/,"9873 W Caley Ave, Littleton, CO 80123",450000.00,39.60336685,-105.1081696,"$491,151 ",1977,1,3,2,1426
86,https://www.zillow.com/homedetails/6621-E-75th-Pl-Commerce-City-CO-80022/13008536_zpid/,"6621 E 75th Pl, Commerce City, CO 80022",310000.00,39.83432388,-104.9114532,"$322,364 ",1955,0,3,1,772
